Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,Winning Candidate,Winning Party
CHANDIGARH,1,KIRRON KHER,Bharatiya Janata Party,PAWAN KUMAR BANSAL,Indian National Congress,69642,Result Declared,KIRRON KHER ,Bharatiya Janata Party
BASTAR,10,DEEPAK BAIJ,Indian National Congress,BAIDU RAM KASHYAP,Bharatiya Janata Party,124359,Result Declared,DINESH KASHYAP,Bharatiya Janata Party
BILASPUR,5,ARUN SAO,Bharatiya Janata Party,ATAL SHRIVASTAV,Indian National Congress,176436,Result Declared,LAKHAN LAL SAHU,Bharatiya Janata Party
DURG,7,VIJAY BAGHEL,Bharatiya Janata Party,PRATIMA CHANDRAKAR,Indian National Congress,16848,Result Declared,TAMRADHWAJ SAHU,Indian National Congress
JANJGIR-CHAMPA,3,GUHARAM AJGALLEY,Bharatiya Janata Party,RAVI PARASRAM BHARDWAJ,Indian National Congress,174961,Result Declared,KAMLA PATLE,Bharatiya Janata Party
KANKER,11,MOHAN MANDAVI,Bharatiya Janata Party,BIRESH THAKUR,Indian National Congress,35158,Result Declared,VIKRAM  USENDI,Bharatiya Janata Party
KORBA,4,JYOTSNA CHARANDAS MAHANT,Indian National Congress,JYOTI NAND DUBEY,Bharatiya Janata Party,4265,Result Declared,DR. BANSHILAL MAHTO,Bharatiya Janata Party
MAHASAMUND,9,CHUNNI LAL SAHU,Bharatiya Janata Party,DHANENDRA SAHU,Indian National Congress,1217,Result Declared,CHANDU LAL SAHU (CHANDU BHAIYA),Bharatiya Janata Party
RAIGARH,2,GOMATI SAI,Bharatiya Janata Party,LALJEET SINGH RATHIA,Indian National Congress,216750,Result Declared,VISHNU DEO SAI,Bharatiya Janata Party
RAIPUR,8,Sunil Kumar Soni,Bharatiya Janata Party,Pramod Dubey,Indian National Congress,171646,Result Declared,RAMESH BAIS,Bharatiya Janata Party
RAJNANDGAON,6,SANTOSH PANDEY,Bharatiya Janata Party,BHOLA RAM SAHU,Indian National Congress,235911,Result Declared,ABHISHEK SINGH,Bharatiya Janata Party
Dadar & Nagar Haveli,1,DELKAR MOHANBHAI SANJIBHAI,Independent,PATEL NATUBHAI GOMANBHAI,Bharatiya Janata Party,6214,Result Declared,PATEL NATUBHAI GOMANBHAI,Bharatiya Janata Party
Daman & diu,1,LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party,KETAN DAHYABHAI PATEL,Indian National Congress,9222,Result Declared,PATEL LALUBHAI BABUBHAI,Bharatiya Janata Party
North Goa,1,SHRIPAD YESSO NAIK,Bharatiya Janata Party,GIRISH RAYA CHODANKAR,Indian National Congress,105599,Result Declared,SHRIPAD YESSO NAIK,Bharatiya Janata Party
South Goa,2,COSME FRANCISCO CAITANO SARDINHA,Indian National Congress,ADV. NARENDRA SAWAIKAR,Bharatiya Janata Party,32330,Result Declared,ADV. NARENDRA KESHAV SAWAIKAR,Bharatiya Janata Party
Ahmedabad East,7,Patel Hasmukhbhai Somabhai,Bharatiya Janata Party,Gitaben Patel,Indian National Congress,326633,Result Declared,PARESH RAWAL,Bharatiya Janata Party
Ahmedabad West,8,DR. KIRIT P. SOLANKI,Bharatiya Janata Party,RAJU PARMAR,Indian National Congress,320311,Result Declared,DR. KIRIT P SOLANKI,Bharatiya Janata Party
Amreli,14,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janata Party,Paresh Dhanani,Indian National Congress,156232,Result Declared,KACHHADIYA NARANBHAI BHIKHABHAI,Bharatiya Janata Party
Anand,16,PATEL MITESH RAMESHBHAI (BAKABHAI),Bharatiya Janata Party,BHARATBHAI MADHAVSINH SOLANKI,Indian National Congress,63426,Result Declared,DILIP PATEL,Bharatiya Janata Party
Banaskantha,2,PARBATBHAI SAVABHAI PATEL,Bharatiya Janata Party,PARTHIBHAI GALBABHAI BHATOL,Indian National Congress,202334,Result Declared,CHAUDHARY HARIBHAI PARTHIBHAI,Bharatiya Janata Party
Bardoli,23,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,CHAUDHARI DR. TUSHARBHAI AMARSINHBHAI,Indian National Congress,123884,Result Declared,VASAVA PARBHUBHAI NAGARBHAI,Bharatiya Janata Party
Bharuch,22,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janata Party,Sherkhan Abdulsakur Pathan,Indian National Congress,153273,Result Declared,VASAVA MANSUKHBHAI DHANJIBHAI,Bharatiya Janata Party
