STATE,PC NO,PC NAME,PC NAME Processed,NO. OF AC SEGMENTS,NO. OF POLLING STATION,ELECTORS,AVG. NO OF ELECTORS PER POLLING STATION,NOMINATIONS,CONTESTENTS,FORFIETED DEPOSITS,VOTERS,VOTERS TURN OUT (IN %),
Uttar Pradesh,16,Hathras,Hathras,5,1906,1758927,923,11,9,6,1049289,81.21,
Maharashtra,48,Hatkanangle,Hatkanangle,6,1743,1630604,936,21,13,11,1190332,88.36,
Karnataka,10,Haveri,Haveri,8,1876,1558749,831,29,19,17,1116368,60.51,
Jharkhand,14,Hazaribagh,Hazaribagh,5,1788,1518923,850,22,20,18,967348,81.27,
Andhra Pradesh,37,Hindupur,Hindupur,7,1663,1446496,870,14,12,10,1179270,81.53,
Maharashtra,15,Hingoli ,Hingoli ,6,1874,1586194,846,49,23,21,1051477,76.52,
Haryana,4,Hisar,Hisar,9,1513,1517606,1003,47,41,39,1156805,69.11,
West Bengal,28,Hooghly,Hooghly,7,2019,1630042,807,9,9,7,1350939,83.48,
Madhya Pradesh,17,HOSHANGABAD,Hoshangabad,8,1950,1568206,804,9,8,6,1031823,82.55,
Punjab,5,Hoshiarpur,Hoshiarpur,9,1860,1485243,799,22,17,14,961562,76.09,
West Bengal,25,Howrah,Howrah,7,1814,1505099,830,19,15,12,1125728,81.38,
Andhra Pradesh,9,Hyderabad,Hyderabad,7,1567,1823217,1164,17,16,14,971770,53.30,
Kerala,13,Idukki,Idukki,7,1145,1158618,1012,21,16,14,820267,79.75,
Madhya Pradesh,26,INDORE,Indore,8,2206,2115302,959,24,22,20,1317016,82.19,
Manipur,1,Inner manipur,Inner Manipur,32,1256,855360,681,8,8,6,641314,76.15,
Madhya Pradesh,13,JABALPUR,Jabalpur,8,1814,1711621,944,16,15,13,1002210,79.75,
West Bengal,22,Jadavpur,Jadavpur,7,1959,1595744,815,13,13,11,1274723,82.01,
Odisha,16,Jagatsinghpur ,Jagatsinghpur ,7,1826,1499673,821,7,7,5,1132868,81.21,
Bihar,36,Jahanabad,Jahanabad,6,1537,1423246,926,23,15,13,811852,78.87,
Rajasthan,7,Jaipur,Jaipur,8,1909,1957816,1026,33,16,14,1298951,51.05,
Rajasthan,6,Jaipur Rural,Jaipur Rural,8,1844,1700306,922,17,12,10,1016230,77.70,
Odisha,8,Jajpur ,Jajpur ,7,1649,1303733,791,9,9,7,981780,53.06,
Punjab,4,Jalandhar,Jalandhar,9,1815,1551484,855,31,24,21,1040778,69.11,
Uttar Pradesh,45,Jalaun,Jalaun,5,2193,1887189,861,12,11,9,1109197,76.14,
Maharashtra,3,Jalgaon,Jalgaon,6,1890,1707969,904,22,20,18,990604,72.69,
Maharashtra,18,Jalna,Jalna,6,1851,1612056,871,34,22,20,1066375,71.82,
Rajasthan,18,Jalore,Jalore,8,1919,1824968,951,33,16,14,1088045,71.82,
West Bengal,3,Jalpaiguri,Jalpaiguri,7,1818,1531468,842,12,12,9,1304280,72.69,
Jammu & Kashmir,6,Jammu,Jammu,20,2274,1848155,813,24,19,17,1256529,77.70,
Gujarat,12,Jamnagar,Jamnagar,7,1665,1470952,883,37,25,23,852989,75.55,
Jharkhand,9,Jamshedpur,Jamshedpur,6,1628,1581665,972,17,15,13,1049164,53.30,
Bihar,40,Jamui (SC),Jamui (Sc),6,1604,1550936,967,13,11,8,775650,77.14,
West Bengal,9,Jangipur,Jangipur,7,1750,1391656,795,11,11,8,1119320,53.30,
Chhattisgarh,3,JANJGIR-CHAMPA,Janjgir-Champa,8,1983,1744201,880,18,15,13,1073367,72.69,
Uttar Pradesh,73,Jaunpur,Jaunpur,5,1850,1848842,999,25,21,18,1007235,61.17,
Rajasthan,25,JHALAWAR-BARAN,Jhalawar-Baran,8,2030,1669844,823,10,6,4,1146407,81.38,
Bihar,7,Jhanjharpur,Jhanjharpur,6,1529,1668405,1091,20,19,16,941265,51.05,
Uttar Pradesh,46,Jhansi,Jhansi,5,1974,1932052,979,20,15,13,1320867,75.46,
West Bengal,33,Jhargram,Jhargram,7,1973,1475112,748,13,13,11,1257645,82.23,
Rajasthan,4,Jhunjhunu,Jhunjhunu,8,1791,1697470,948,16,12,9,1008641,69.11,
Rajasthan,16,Jodhpur,Jodhpur,8,1850,1727791,934,20,13,11,1079798,81.21,
Assam,12,Jorhat,Jorhat,10,1597,1189486,745,10,10,8,931568,75.55,
West Bengal,19,Joynagar,Joynagar,7,1751,1458724,833,10,10,8,1189153,74.60,
Gujarat,13,Junagadh,Junagadh,7,1700,1485543,874,11,8,6,942257,79.75,
Gujarat,1,Kachchh,Kachchh,7,1835,1533778,836,9,5,3,947521,76.15,
Andhra Pradesh,38,Kadapa,Kadapa,7,1800,1550440,861,24,14,12,1201120,77.47,
Uttar Pradesh,2,Kairana,Kairana,5,1503,1531767,1019,23,11,9,1119747,71.93,
Uttar Pradesh,57,Kaiserganj,Kaiserganj,5,1730,1711967,990,26,14,12,943437,79.26,
Andhra Pradesh,23,Kakinada,Kakinada,7,1491,1418290,951,26,22,20,1101730,77.68,
Odisha,11,Kalahandi,Kalahandi,7,1892,1474135,779,15,15,12,1117831,71.58,
Assam,11,Kaliabor,Kaliabor,10,1772,1457219,822,13,13,10,1167391,71.58,
Tamil Nadu,14,Kallakurichi,Kallakurichi,6,1623,1412497,870,48,22,20,1107506,81.27,
Maharashtra,24,Kalyan,Kalyan,6,1856,1922034,1036,27,18,16,825414,82.63,
Tamil Nadu,6,Kancheepuram ,Kancheepuram ,6,1661,1480123,891,25,11,8,1129849,77.70,
